X,Y,osm_id,name,place type,category,text_des
31.8900333,26.3352533,4576159690,هويدا منصور,clinic,Health,"تقع هويدا منصور في القاهرة، مصر. نوع المنطقة: عام. البيانات من OpenStreetMap."
31.5001445,26.7695068,4576159693,عبدالحميد,clinic,Health,"تقع عبدالحميد في القاهرة، مصر. نوع المنطقة: عام. البيانات من OpenStreetMap."
31.6926405,26.5646769,4576173389,اكرم قدرى,clinic,Health,"تقع اكرم قدرى في القاهرة، مصر. نوع المنطقة: عام. البيانات من OpenStreetMap."
31.890577,26.335061,4576199091,مجدى اديب,clinic,Health,"تقع مجدى اديب في القاهرة، مصر. نوع المنطقة: عام. البيانات من OpenStreetMap."
32.000565,26.2348033,4576824191,بيشوى نبيل,clinic,Health,"تقع بيشوى نبيل في القاهرة، مصر. نوع المنطقة: عام. البيانات من OpenStreetMap."
31.8884233,26.332055,4576829494,درويش عصام,clinic,Health,"تقع درويش عصام في القاهرة، مصر. نوع المنطقة: عام. البيانات من OpenStreetMap."
31.8892963,26.3314146,4576833890,محمد جمال حماية,clinic,Health,"تقع محمد جمال حماية في القاهرة، مصر. نوع المنطقة: عام. البيانات من OpenStreetMap."
31.6916194,26.5571117,4576879794,اسكندر عزمى,clinic,Health,"تقع اسكندر عزمى في القاهرة، مصر. نوع المنطقة: عام. البيانات من OpenStreetMap."
31.8899249,26.3314797,4576911189,ايمن السكرى,clinic,Health,"تقع ايمن السكرى في القاهرة، مصر. نوع المنطقة: عام. البيانات من OpenStreetMap."
31.688066,26.5554121,4576912091,عاطف حبيب,clinic,Health,"تقع عاطف حبيب في القاهرة، مصر. نوع المنطقة: عام. البيانات من OpenStreetMap."
32.0027466,26.2348316,4576917889,ابراهيم صالح,clinic,Health,"تقع ابراهيم صالح في القاهرة، مصر. نوع المنطقة: عام. البيانات من OpenStreetMap."
31.69913,26.5450183,4576923789,مايكل سامى,clinic,Health,"تقع مايكل سامى في القاهرة، مصر. نوع المنطقة: عام. البيانات من OpenStreetMap."
31.8905881,26.3350561,4576931889,احمد طه,clinic,Health,"تقع احمد طه في القاهرة، مصر. نوع المنطقة: عام. البيانات من OpenStreetMap."
31.9988513,26.2352823,4576931890,عواطف عبد الفتاح,clinic,Health,"تقع عواطف عبد الفتاح في القاهرة، مصر. نوع المنطقة: عام. البيانات من OpenStreetMap."
31.691684,26.5528673,4576934790,ايمن طه موسى,clinic,Health,"تقع ايمن طه موسى في القاهرة، مصر. نوع المنطقة: عام. البيانات من OpenStreetMap."
32.0038689,26.2344955,4576934791,دكتورة هبه رشاد,clinic,Health,"تقع دكتورة هبه رشاد في القاهرة، مصر. نوع المنطقة: عام. البيانات من OpenStreetMap."
31.6887191,26.5598234,4576937789,نظام كامل,clinic,Health,"تقع نظام كامل في القاهرة، مصر. نوع المنطقة: عام. البيانات من OpenStreetMap."
